Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,3.740000,3.780000,3.710000,3.710000,3.710000,913800
2020-02-25,3.750000,3.760000,3.650000,3.660000,3.660000,1018200
2020-02-26,3.660000,3.690000,3.630000,3.640000,3.640000,691700
2020-02-27,3.540000,3.610000,3.520000,3.560000,3.560000,1550000
2020-02-28,3.450000,3.470000,3.370000,3.450000,3.450000,2347100
2020-03-02,3.330000,3.510000,3.330000,3.490000,3.490000,1987600
2020-03-03,3.450000,3.540000,3.450000,3.490000,3.490000,2370700
2020-03-04,3.520000,3.590000,3.500000,3.560000,3.560000,1098900
2020-03-05,3.520000,3.570000,3.510000,3.520000,3.520000,1468400
2020-03-06,3.500000,3.540000,3.450000,3.510000,3.510000,1028200
2020-03-09,3.250000,3.360000,3.190000,3.250000,3.250000,2546100
2020-03-10,3.380000,3.380000,3.220000,3.300000,3.300000,1487400
2020-03-11,3.260000,3.280000,3.120000,3.140000,3.140000,2140400
2020-03-12,2.820000,2.930000,2.820000,2.880000,2.880000,2012200
2020-03-13,3.020000,3.100000,2.910000,3.060000,3.060000,2258200
2020-03-16,2.730000,2.900000,2.730000,2.760000,2.760000,1148400
2020-03-17,2.760000,2.840000,2.680000,2.780000,2.780000,1345200
2020-03-18,2.600000,2.720000,2.600000,2.630000,2.630000,1341300
2020-03-19,2.520000,2.650000,2.520000,2.570000,2.570000,2983800
2020-03-20,2.770000,2.780000,2.640000,2.660000,2.660000,2111700
2020-03-23,2.610000,2.720000,2.540000,2.690000,2.690000,1445000
2020-03-24,2.700000,2.820000,2.680000,2.720000,2.720000,1759200
2020-03-25,2.730000,2.850000,2.700000,2.790000,2.790000,1255600
2020-03-26,2.840000,3.010000,2.840000,3.000000,3.000000,1658100
2020-03-27,2.910000,3.030000,2.880000,2.970000,2.970000,2537000
2020-03-30,2.950000,3.020000,2.940000,3.010000,3.010000,1169700
2020-03-31,3.090000,3.140000,3.030000,3.100000,3.100000,2072500
2020-04-01,2.920000,3.050000,2.910000,3.020000,3.020000,1225800
2020-04-02,3.000000,3.080000,2.980000,3.020000,3.020000,970700
2020-04-03,2.880000,2.930000,2.840000,2.920000,2.920000,769300
2020-04-06,2.960000,3.060000,2.950000,3.060000,3.060000,1544200
2020-04-07,3.050000,3.200000,3.050000,3.090000,3.090000,1634900
2020-04-08,3.090000,3.170000,3.090000,3.130000,3.130000,930400
2020-04-09,3.160000,3.190000,3.070000,3.100000,3.100000,1044200
2020-04-13,3.040000,3.080000,3.010000,3.040000,3.040000,741500
2020-04-14,3.060000,3.170000,3.060000,3.100000,3.100000,1467600
2020-04-15,3.020000,3.110000,2.820000,3.070000,3.070000,1999200
2020-04-16,3.040000,3.140000,3.020000,3.060000,3.060000,1803600
2020-04-17,3.100000,3.100000,2.960000,3.030000,3.030000,1421300
2020-04-20,2.950000,3.020000,2.950000,2.960000,2.960000,1188400
2020-04-21,2.970000,2.970000,2.850000,2.890000,2.890000,1142100
2020-04-22,2.950000,2.980000,2.920000,2.940000,2.940000,2145500
2020-04-23,2.980000,3.040000,2.980000,3.000000,3.000000,766500
2020-04-24,2.950000,2.990000,2.910000,2.940000,2.940000,551300
2020-04-27,3.000000,3.030000,2.990000,2.990000,2.990000,1110700
2020-04-28,3.020000,3.040000,2.980000,2.990000,2.990000,1352600
2020-04-29,2.930000,3.210000,2.930000,3.160000,3.160000,2446100
2020-04-30,3.300000,3.400000,3.250000,3.290000,3.290000,2180400
2020-05-01,3.230000,3.230000,3.110000,3.190000,3.190000,1198700
2020-05-04,3.200000,3.240000,3.170000,3.210000,3.210000,1022800
2020-05-05,3.190000,3.240000,3.090000,3.120000,3.120000,542700
2020-05-06,3.130000,3.160000,3.030000,3.050000,3.050000,1277600
2020-05-07,3.020000,3.080000,3.010000,3.010000,3.010000,1260400
2020-05-08,3.060000,3.100000,3.050000,3.090000,3.090000,637500
2020-05-11,3.090000,3.090000,3.010000,3.020000,3.020000,1005900
2020-05-12,3.080000,3.100000,3.030000,3.030000,3.030000,1564200
2020-05-13,3.060000,3.060000,2.850000,2.870000,2.870000,894400
2020-05-14,2.890000,2.930000,2.790000,2.920000,2.920000,1720400
2020-05-15,2.900000,2.930000,2.870000,2.910000,2.910000,671500
